id,title,vote_average,vote_count,release_date,runtime,overview,poster_path,genres,production_companies,production_countries
13635,Mesrine: Killer Instinct,7.363,845,2008-10-22,113,"Jacques Mesrine, a loyal son and dedicated soldier, is back home and living with his parents after serving in the Algerian War. Soon he is seduced by the neon glamour of sixties Paris and the easy money it presents. Mentored by Guido, Mesrine turns his back on middle class law-abiding and soon moves swiftly up the criminal ladder.",/zCyuiyIhbhgEOZde81qTgXbO0pw.jpg,"Drama, Action, Thriller, Crime","Remstar Productions, Novo RPI, La Petite Reine","Canada, France, Italy"
44683,Tinker Bell and the Great Fairy Rescue,6.708,845,2010-07-29,76,"During a summer stay on the mainland, Tinker Bell is accidentally discovered while investigating a little girl's fairy house. As the other fairies, led by the brash Vidia, launch a daring rescue in the middle of a fierce storm, Tink develops a special bond with the lonely, little girl.",/cb7PrVIYbwIadQqWxgSU6CGHJjj.jpg,"Animation, Adventure, Family, Fantasy","DisneyToon Studios, Prana Animation Studios","India, United States of America"
9043,The Family Stone,6.3,845,2005-12-15,103,"An uptight, conservative businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",/3QPSWIx14H7sfaLqY5bh1qDNQhZ.jpg,"Comedy, Drama, Romance","Fox 2000 Pictures, The Family Stone, Major Studio Partners, Michael London Productions, Pan Productions",United States of America
260,The 39 Steps,7.372,845,1935-06-06,86,"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed - with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as The 39 Steps.",/paI9Tmqm2cZG6xy4Tnjw3Ydjuw5.jpg,"Mystery, Thriller",Gaumont-British Picture Corporation,United Kingdom
9474,My Name Is Nobody,7.244,845,1973-12-13,117,"Jack Beauregard, an ageing gunman of the Old West, only wants to retire in peace and move to Europe. But a young gunfighter, known as ""Nobody"", who idolizes Beauregard, wants him to go out in a blaze of glory. So he arranges for Jack to face the 150-man gang known as The Wild Bunch and earn his place in history.",/tJQEVI1p00Jh9TUgNEI623iu7ST.jpg,"Comedy, Western","Rafran Cinematografica, Les Films Jacques Leitienne, Rialto Film Preben-Philipsen, Alcinter","France, Germany, Italy"
425001,The War with Grandpa,6.417,845,2020-08-27,98,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",/ltyARDw2EFXZ2H2ERnlEctXPioP.jpg,"Comedy, Family","Marro Films, EFO Films, Tri G, West Madison Entertainment",United States of America
103620,Maniac,6.047,845,2012-12-26,89,"As he helps a young artist with her upcoming exhibition, the owner of a mannequin shop's deadly, suppressed desires come to the surface.",/nbDkRvhmbYnHDXkoq0sF0PLeo8j.jpg,Horror,"La Petite Reine, Studio 37, Canal+, Ciné+",France
11220,Fallen Angels,7.733,845,1995-09-06,98,Two tales of crimes intertwine in present-day Hong Kong.,/yyM9BPdwttK5LKZSLvHae7QPKo1.jpg,"Action, Romance, Crime",Jet Tone Production,Hong Kong
452187,Le Brio,6.971,844,2017-11-22,95,"After an incident, a brilliant professor known for his outbursts is forced to mentor the student he wronged for a speech contest.",/l43VMuUg1DoItf9nMcMSj2ZSbn3.jpg,"Drama, Comedy","Moonshaker, Chapter 2",France
9929,Asterix and Cleopatra,6.961,844,1968-12-19,72,"Popular animated hero Asterix and his faithful sidekick Obelix travel to ancient Egypt to help Cleopatra build a new summer home. Cleopatra and Julius Caesar have made a bet, with Caesar wagering the project cannot be completed in a few weeks time. With the help of a magic potion, Asterix comes to the rescue of the Queen of the Nile as Caesar and an angry architect plot against them.",/uK1S8VHWH0kilanq2QyNIdkUjFs.jpg,"Family, Animation, Adventure, Comedy","Belvision, Dargaud Films","France, Belgium"
